"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
26,6144,"; fused_moe_kernel_16x16x16_padding_68_lds_130_block_n_128_block_k_64_2_waves_reordered",0,0,0,0,""
26,6144,"s_load_dwordx2 s[2:3], s[0:1], 0x0",0,0,0,0,""
26,6152,"s_load_dwordx8 s[4:11], s[0:1], 0x8",0,0,0,0,""
26,6160,"s_load_dwordx2 s[12:13], s[0:1], 0x28",0,0,0,0,""
26,6168,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
26,6172,"s_branch 56",0,0,0,0,""
26,6176,"s_nop 0",0,0,0,0,""
26,6180,"s_nop 0",0,0,0,0,""
26,6184,"s_nop 0",0,0,0,0,""
26,6188,"s_nop 0",0,0,0,0,""
26,6192,"s_nop 0",0,0,0,0,""
26,6196,"s_nop 0",0,0,0,0,""
26,6200,"s_nop 0",0,0,0,0,""
26,6204,"s_nop 0",0,0,0,0,""
26,6208,"s_nop 0",0,0,0,0,""
26,6212,"s_nop 0",0,0,0,0,""
26,6216,"s_nop 0",0,0,0,0,""
26,6220,"s_nop 0",0,0,0,0,""
26,6224,"s_nop 0",0,0,0,0,""
26,6228,"s_nop 0",0,0,0,0,""
26,6232,"s_nop 0",0,0,0,0,""
26,6236,"s_nop 0",0,0,0,0,""
26,6240,"s_nop 0",0,0,0,0,""
26,6244,"s_nop 0",0,0,0,0,""
26,6248,"s_nop 0",0,0,0,0,""
26,6252,"s_nop 0",0,0,0,0,""
26,6256,"s_nop 0",0,0,0,0,""
26,6260,"s_nop 0",0,0,0,0,""
26,6264,"s_nop 0",0,0,0,0,""
26,6268,"s_nop 0",0,0,0,0,""
26,6272,"s_nop 0",0,0,0,0,""
26,6276,"s_nop 0",0,0,0,0,""
26,6280,"s_nop 0",0,0,0,0,""
26,6284,"s_nop 0",0,0,0,0,""
26,6288,"s_nop 0",0,0,0,0,""
26,6292,"s_nop 0",0,0,0,0,""
26,6296,"s_nop 0",0,0,0,0,""
26,6300,"s_nop 0",0,0,0,0,""
26,6304,"s_nop 0",0,0,0,0,""
26,6308,"s_nop 0",0,0,0,0,""
26,6312,"s_nop 0",0,0,0,0,""
26,6316,"s_nop 0",0,0,0,0,""
26,6320,"s_nop 0",0,0,0,0,""
26,6324,"s_nop 0",0,0,0,0,""
26,6328,"s_nop 0",0,0,0,0,""
26,6332,"s_nop 0",0,0,0,0,""
26,6336,"s_nop 0",0,0,0,0,""
26,6340,"s_nop 0",0,0,0,0,""
26,6344,"s_nop 0",0,0,0,0,""
26,6348,"s_nop 0",0,0,0,0,""
26,6352,"s_nop 0",0,0,0,0,""
26,6356,"s_nop 0",0,0,0,0,""
26,6360,"s_nop 0",0,0,0,0,""
26,6364,"s_nop 0",0,0,0,0,""
26,6368,"s_nop 0",0,0,0,0,""
26,6372,"s_nop 0",0,0,0,0,""
26,6376,"s_nop 0",0,0,0,0,""
26,6380,"s_nop 0",0,0,0,0,""
26,6384,"s_nop 0",0,0,0,0,""
26,6388,"s_nop 0",0,0,0,0,""
26,6392,"s_nop 0",0,0,0,0,""
26,6396,"s_nop 0",0,0,0,0,""
26,6400,"s_lshr_b32 s0, s14, 8",1056,4260,36,39692,""
26,6404,"s_and_b32 s0, s0, 0xfffff8",1056,4248,24,0,""
26,6412,"s_sub_i32 s1, 0x109, s0",1056,4264,40,0,""
26,6420,"s_min_u32 s1, s1, 8",1056,4264,36,0,""
26,6424,"v_cvt_f32_ubyte0_e32 v1, s1",1056,6296,2052,0,""
26,6428,"v_rcp_iflag_f32_e32 v1, v1",1056,10776,2368,0,""
26,6432,"s_ashr_i32 s15, s14, 31",1056,4240,16,40,""
26,6436,"s_lshr_b32 s15, s15, 21",1056,4228,4,0,""
26,6440,"s_sub_i32 s16, 0, s1",1056,4272,44,0,""
26,6444,"v_mul_f32_e32 v1, 0x4f7ffffe, v1",1056,5404,1136,0,""
26,6452,"v_cvt_u32_f32_e32 v1, v1",1056,6508,2284,0,""
26,6456,"s_add_i32 s15, s14, s15",1056,4280,56,0,""
26,6460,"s_and_b32 s15, s15, 0xfffff800",1056,4248,24,0,""
26,6468,"s_sub_i32 s14, s14, s15",1056,4256,32,0,""
26,6472,"v_readfirstlane_b32 s17, v1",1056,5124,872,0,""
26,6476,"s_mul_i32 s16, s16, s17",1056,4256,32,16868,""
26,6480,"s_mul_hi_u32 s16, s17, s16",1056,4260,36,0,""
26,6484,"s_add_i32 s17, s17, s16",1056,4268,44,0,""
26,6488,"s_mul_hi_u32 s16, s14, s17",1056,4236,12,0,""
26,6492,"s_mul_i32 s17, s16, s1",1056,4252,28,0,""
26,6496,"s_sub_i32 s17, s14, s17",1056,4244,20,0,""
26,6500,"s_add_i32 s18, s16, 1",1056,4252,28,0,""
26,6504,"s_sub_i32 s19, s17, s1",1056,4240,16,0,""
26,6508,"s_cmp_ge_u32 s17, s1",1056,4248,24,0,""
26,6512,"s_cselect_b32 s16, s18, s16",1056,4232,8,0,""
26,6516,"s_cselect_b32 s17, s19, s17",1056,4244,20,0,""
26,6520,"s_add_i32 s18, s16, 1",1056,4248,24,0,""
26,6524,"s_load_dword s11, s[10:11], 0x0",1056,4236,12,0,""
26,6532,"s_cmp_ge_u32 s17, s1",1056,4256,32,0,""
26,6536,"s_cselect_b32 s10, s18, s16",1056,4244,20,0,""
26,6540,"s_mul_i32 s1, s10, s1",1056,4240,16,0,""
26,6544,"s_sub_i32 s1, s14, s1",1056,4244,20,0,""
26,6548,"s_mov_b32 s15, 0",1056,4228,4,0,""
26,6552,"s_add_i32 s14, s1, s0",1056,4240,12,0,""
26,6556,"s_waitcnt lgkmcnt(0)",1056,16752,16752,0,""
26,6560,"s_ashr_i32 s0, s11, 31",1056,4244,20,0,""
26,6564,"v_mov_b32_e32 v2, s11",1056,5028,804,0,""
26,6568,"v_mov_b32_e32 v3, s0",1056,5556,1332,0,""
26,6572,"s_lshl_b64 s[16:17], s[14:15], 7",1056,4248,16,0,""
26,6576,"v_cmp_ge_i64_e32 vcc, s[16:17], v[2:3]",1056,6000,1764,0,""
26,6580,"s_cbranch_vccnz 1297",1056,4236,12,21108,""
26,6584,"s_lshl_b64 s[0:1], s[14:15], 2",1056,4264,40,0,""
